cand_name,cand_party,cand_cons,vote_share,total_reported_spending,electorate_figure,spending_limit,spending_limit_percent,direct_spending,national_spending,unpaid_claims,disputed_claims,advertising,unsolicited_material,transport,public_meeting,agent_staff,accomodation,personal_expenses,donations_accepted
Ian Garrett,Liberal Democrats,Aldridge-Brownhills,6.03,660.40,"60,123","12,307.38",5.37,660.40,0.00,0.00,0.00,0.00,660.40,0.00,0.00,0.00,0.00,0.00,NaN
Wendy Morton,Conservative and Unionist Party,Aldridge-Brownhills,70.79,"11,952.36","60,123","12,307.38",97.12,"9,780.69","2,171.67",0.00,0.00,477.34,"9,184.40",0.00,0.00,830.00,"1,460.62",0.00,"11,952.96"
Mark Beech,Independent and Other,Aldridge-Brownhills,0.85,0.00,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
David Morgan,Labour Party,Aldridge-Brownhills,20.37,460.87,"59,137",NaN,NaN,0.00,460.87,0.00,0.00,252.27,191.35,0.00,0.00,0.00,17.25,0.00,460.87
Bill McComish,Green Party,Aldridge-Brownhills,1.96,0.00,"60,138","12,308.28",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Graham Brady,Conservative and Unionist Party,Altrincham and Sale West,48.05,"11,614.56","71,724","13,003.44",89.32,"4,258.80","7,355.78",0.00,0.00,"1,119.60","6,804.77",0.00,0.00,"2,499.39","1,190.80",0.00,"11,614.56"
Angela Smith,Liberal Democrats,Altrincham and Sale West,11.02,"8,900.26","72,156","13,029.36",68.31,"7,244.02","1,656.24",0.00,0.00,151.06,"6,932.46",0.00,0.00,"1,000.00",816.74,0.00,"12,614.22"
Geraldine Coggins,Green Party,Altrincham and Sale West,2.86,974.27,"72,174","13,030.44",7.48,974.27,0.00,0.00,0.00,35.50,938.77,0.00,0.00,0.00,0.00,0.00,0.00
Andrew Western,Labour Party,Altrincham and Sale West,36.84,"11,288.46",NaN,"13,030.44",86.63,"10,712.54",575.92,0.00,0.00,686.77,"6,687.39",0.00,0.00,"1,525.68","2,388.62",0.00,"15,501.92"
Neil Taylor,Independent and Other,Altrincham and Sale West,0.83,"1,050.00","72,174","13,030.44",8.06,"1,050.00",0.00,0.00,0.00,0.00,"1,050.00",0.00,0.00,0.00,0.00,"1,050.00","1,550.00"
